Flight Number,Launch Site,class,Payload Mass (kg),Booster Version,Booster Version Category
79,KSC LC 39A,1,9525.0,Falcon 9 B1058,B5
80,CCAFS SLC 40,1,15400.0,Falcon 9 B1049,B5
81,CCAFS SLC 40,1,15400.0,Falcon 9 B1059,B5
82,CCAFS SLC 40,1,3880.0,Falcon 9 B1060,B5
83,CCAFS SLC 40,1,6104.959411764706,Falcon 9 B1058,B5
84,CCAFS SLC 40,1,15400.0,Falcon 9 B1049,B5
85,CCAFS SLC 40,1,1600.0,Falcon 9 B1059,B5
86,KSC LC 39A,1,15400.0,Falcon 9 B1060,B5
87,KSC LC 39A,1,15400.0,Falcon 9 B1058,B5
88,KSC LC 39A,1,15400.0,Falcon 9 B1051,B5
89,CCAFS SLC 40,1,15400.0,Falcon 9 B1060,B5
90,CCAFS SLC 40,1,3681.0,Falcon 9 B1062,B5
